分類コード,データ名,地物名,地物数,形状
2219,2219_Point,道路のトンネル（方向）,1,Point
2238,2238_Point,並木,7095,Point
2419,2419_Point,鉄道のトンネル（方向）,10,Point
3401,3401_Point,門（真形）,22,Point
3509,3509_Point,建物記号（郵便局）,12,Point
3516,3516_Point,建物記号（消防署）,5,Point
3521,3521_Point,建物記号（神社）,9,Point
3522,3522_Point,建物記号（寺院）,24,Point
3523,3523_Point,建物記号（ｷﾘｽﾄ教会）,2,Point
3532,3532_Point,建物記号（病院）,55,Point
3534,3534_Point,建物記号（銀行）,26,Point
3548,3548_Point,建物記号（工場）,70,Point
3550,3550_Point,建物記号（変電所）,5,Point
3556,3556_Point,建物記号（揚排水機場）,22,Point
3560,3560_Point,建物記号（ｶﾞｿﾘﾝｽﾀﾝﾄﾞ),28,Point
4201,4201_Point,墓碑（記号）,676,Point
4202,4202_Point,記念碑（記号）,106,Point
4203,4203_Point,立像（記号）,20,Point
4204,4204_Point,路傍祠（記号）,126,Point
4205,4205_Point,灯ろう（記号）,194,Point
4207,4207_Point,鳥居（方向）,133,Point
4219,4219_Point,坑口（方向）,1594,Point
4228,4228_Point,起重機（記号）,6,Point
4231,4231_Point,タンク（記号）,51,Point
4234,4234_Point,煙突（記号）,11,Point
4235,4235_Point,高塔（記号）,2,Point
4236,4236_Point,電波塔（記号）,19,Point
5226,5226_Point,滝（極小）方向,1,Point
5227,5227_Point,せき（水通し上流部）,82,Point
5228,5228_Point,水門（方向）,99,Point
5241,5241_Point,流水方向（方向）,259,Point
6110,6110_Point,被覆（幅無）,6613,Point
6212,6212_Point,駐車場（Ｐ）,98,Point
6214,6214_Point,園庭,38,Point
6216,6216_Point,材料置場,122,Point
6222,6222_Point,温泉・鉱泉,1,Point
6311,6311_Point,植生記号（田）,8337,Point
6313,6313_Point,植生記号（畑）,5005,Point
6319,6319_Point,植生記号（果樹園）,22,Point
6321,6321_Point,植生記号（その他樹木畑）,65,Point
6323,6323_Point,植生記号（芝地）,268,Point
6331,6331_Point,植生記号（広葉樹林）,4130,Point
6332,6332_Point,植生記号（針葉樹林）,4786,Point
6333,6333_Point,植生記号（竹林）,210,Point
6334,6334_Point,植生記号（荒地）,623,Point
6340,6340_Point,植生記号（砂れき地）,58,Point
7206,7206_Point,洞口（方向）,2,Point
7301,7301_Point,三角点（記号）,42,Point
7302,7302_Point,水準点（記号）,5,Point
7305,7305_Point,公共水準点（記号）,104,Point
7311,7311_Point,レベル点（記号）,4,Point
7312,7312_Point,標高単点（記号）,16910,Point
8110,8110_Point,市・東京都の区(5),46,Point
8111,8111_Point,町・村・都市の区(4),8,Point
8114,8114_Point,大字・町・丁目(2),776,Point
8115,8115_Point,小字・丁目(2),17,Point
8121,8121_Point,道路・標準(2),704,Point
8123,8123_Point,鉄道・標準(3),86,Point
8124,8124_Point,鉄道施設・範囲(1),11,Point
8125,8125_Point,橋名・線上(1),172,Point
8126,8126_Point,トンネル・線上(1),44,Point
8131,8131_Point,建物・範囲(1),682,Point
8151,8151_Point,"河川,内湾,港・標準(3)",472,Point
8162,8162_Point,場地(公園等)・範囲(1),44,Point
8171,8171_Point,山・標準(1),48,Point
8181,8181_Point,説明注記・標準(1/4),622,Point
8199,8199_Point,注記指示点,363,Point
1103,1103_Line,郡市・東京都の区界,104,Line
2101,2101_Line,真幅道路（街区線）,33933,Line
2103,2103_Line,徒歩道,169,Line
2106,2106_Line,庭園路等,1935,Line
2109,2109_Line,建設中の道路,7,Line
2203,2203_Line,道路橋（高架部）,6642,Line
2205,2205_Line,徒橋,112,Line
2211,2211_Line,横断歩道橋,22,Line
2213,2213_Line,歩道,2844,Line
2214,2214_Line,石段（縁線）,3593,Line
2215,2215_Line,地下街・地下鉄等出入口,18,Line
2219,2219_Line,道路のトンネル（方向）,16,Line
2226,2226_Line,分離帯,364,Line
2301,2301_Line,普通鉄道,146,Line
2309,2309_Line,建設中の鉄道,9,Line
2401,2401_Line,鉄道橋（高架部）,48,Line
2424,2424_Line,プラットホーム,19,Line
2428,2428_Line,鉄道の雪覆い等,5,Line
3001,3001_Line,普通建物,51127,Line
3002,3002_Line,堅牢建物,797,Line
3003,3003_Line,普通無壁舎,5974,Line
3004,3004_Line,堅牢無壁舎,4,Line
3402,3402_Line,屋門（通路）,90,Line
4219,4219_Line,坑口（方向）,39,Line
4231,4231_Line,タンク（記号）,135,Line
4235,4235_Line,高塔（記号）,746,Line
4262,4262_Line,輸送管空間（幅有）左回,64,Line
4265,4265_Line,送電線,153,Line
5101,5101_Line,河川（水涯線）,10497,Line
5102,5102_Line,細流（一条河川）,4487,Line
5203,5203_Line,桟橋（木）,2,Line
5226,5226_Line,滝（極小）方向,1,Line
5227,5227_Line,せき（水通し上流部）,134,Line
6101,6101_Line,人工斜面（上線）,152448,Line
6110,6110_Line,被覆（幅無）,11291,Line
6130,6130_Line,さく（未分類）,3520,Line
6140,6140_Line,へい,4476,Line
6201,6201_Line,区域界,594,Line
6301,6301_Line,植生界,12737,Line
6302,6302_Line,耕地界,5817,Line
7101,7101_Line,等高線（計曲線）,23355,Line
7102,7102_Line,等高線（主曲線）,104711,Line
7103,7103_Line,等高線（補助曲線）,97,Line
7105,7105_Line,等高線（計曲線/凹地）,7,Line
7106,7106_Line,等高線（主曲線/凹地）,18,Line
7201,7201_Line,土がけ（上線）,11832,Line
7211,7211_Line,岩がけ（上線）,8688,Line
